"20",2020-05-07,16013,10.92466974918,494,3.61664318262949,NA,NA,NA,NA,NA,0.29264905098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274846608,1.244741841,NA,5.36226414,NA,0.0744921012,NA,NA,NA,NA,3.675676008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2020-05-08,16013,12.3360695784,494,3.69940424536512,NA,NA,NA,NA,NA,0.775869354,NA,NA,NA,NA,NA,NA,NA,NA,0.1013370864,NA,NA,0.201388876,0.229940112,1.807860222,NA,4.78136195,NA,0.11183733,NA,NA,NA,NA,4.326474648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2020-05-09,16013,10.46285600752,494,3.51848400908697,NA,NA,NA,NA,NA,0.66116035912,0.0390488172,NA,0.016618196,NA,NA,NA,NA,NA,0.140591204,NA,NA,0.1867353442,0.185614848,1.26729551,NA,3.63763095,NA,0.147102527,NA,NA,NA,NA,4.181058252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2020-05-10,16013,12.479875318,498,3.4238038894307,NA,NA,NA,NA,NA,1.07833992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312222932,0.251541299,1.369047699,NA,6.06737594,NA,NA,NA,NA,NA,NA,3.401347528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2020-05-11,16013,11.1726515839,501,3.49884262863905,NA,NA,NA,NA,NA,1.0090887598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311604594,NA,1.411082408,NA,4.984375,NA,0.1003039521,NA,NA,NA,NA,3.35619687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2020-05-12,16013,8.54951027797,501,3.40917472668606,NA,NA,NA,NA,NA,0.37577996577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20253164,0.902553749,NA,3.97580662,NA,0.0799333932,NA,NA,NA,NA,3.01290491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2020-05-13,16013,9.24277672124,501,3.43501371442686,NA,NA,NA,NA,NA,0.50143302054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2605390363,0.30534352,0.91095453,NA,3.47104248,NA,0.0892857144,NA,NA,NA,NA,3.70417842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2020-05-14,16013,11.92425118246,502,3.48861116010769,NA,NA,NA,NA,NA,0.44438740126,NA,NA,NA,NA,NA,NA,NA,NA,0.086893563,NA,NA,0.1622377682,0.388888918,1.26455367,NA,5.30350173,NA,0.085592007,NA,NA,NA,NA,4.188196125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2020-05-15,16013,11.1375392047,502,3.67721926765048,NA,NA,NA,NA,NA,0.8039270437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.456221216,1.267143705,NA,4.47794104,NA,NA,NA,NA,NA,NA,4.1323062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2020-05-16,16013,13.1305822248,503,3.58123132410056,NA,NA,NA,NA,NA,1.1996803689,NA,NA,NA,NA,NA,NA,NA,NA,0.1214285724,NA,NA,0.2281966935,0.293772025,1.973633445,NA,4.30000023,NA,0.12977649,NA,NA,NA,NA,4.8840944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2020-05-17,16013,11.9977443592,503,3.17208764491981,NA,NA,NA,NA,NA,1.031441424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2213740462,0.449101825,1.584534744,NA,4.36679535,NA,0.15537849,NA,NA,NA,NA,4.18911848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
