"29",2020-05-20,45003,164.77684231,153,3.88371690217379,NA,6.353509046,NA,18.332361424,NA,NA,NA,NA,NA,2.154696128,NA,79.48422724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42774562,NA,0.930417462,9.7671492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.63952889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.41930594,NA,NA,NA,NA,NA,NA,NA,14.26790136,NA,NA,NA,NA,NA,NA,NA
"30",2020-05-21,45003,180.208612762,154,3.97010499123413,NA,6.630969828,NA,20.986124686,NA,NA,NA,NA,NA,2.33403368,NA,86.14417765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.020220694,NA,1.25773192,10.6275664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.10569076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.280441184,NA,NA,NA,NA,NA,NA,NA,15.82165596,NA,NA,NA,NA,NA,NA,NA
"31",2020-05-22,45003,187.501069009,159,4.02442043704663,NA,7.548806604,NA,21.209281408,NA,NA,NA,NA,NA,2.659273383,NA,91.00144945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.624338542,NA,1.20868742,9.9544416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22891595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.369309812,NA,NA,NA,NA,NA,NA,NA,15.69656484,NA,NA,NA,NA,NA,NA,NA
"32",2020-05-23,45003,189.746333858,162,3.96434075128176,NA,6.919471804,NA,19.783475747,NA,NA,NA,NA,NA,2.872003311,NA,93.3565464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56081066,NA,1.17307692,10.0820895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5087384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.836883436,NA,NA,NA,NA,NA,NA,NA,14.65323768,NA,NA,NA,NA,NA,NA,NA
"33",2020-05-24,45003,162.363084372,166,3.79603007244226,NA,4.875000156,NA,16.720976881,NA,NA,NA,NA,NA,NA,NA,77.91515464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.844393577,NA,1.10992528,8.42231082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.12446362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.267443798,NA,NA,NA,NA,NA,NA,NA,17.0834156,NA,NA,NA,NA,NA,NA,NA
"34",2020-05-25,45003,155.92872737,171,3.71423630082936,NA,4.597246794,NA,16.098204986,NA,NA,NA,NA,NA,1.925731776,NA,70.8487869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.903508779,NA,0.726562473,7.97859552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.32965871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.626626152,NA,NA,NA,NA,NA,NA,NA,19.89380528,NA,NA,NA,NA,NA,NA,NA
"35",2020-05-26,45003,186.90204554,174,3.93214946492849,NA,6.518095092,NA,19.835394084,NA,NA,NA,NA,NA,2.73342354,NA,83.35215078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.548757256,NA,0.931888587,11.38632222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.45454563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.337452051,NA,NA,NA,NA,3.9761433,NA,NA,19.827873,NA,NA,NA,NA,NA,NA,NA
"36",2020-05-27,45003,207.810793214,177,3.98392711175356,NA,6.496197242,NA,22.52341309,NA,NA,NA,NA,NA,2.74768824,NA,94.63514229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.353703644,NA,1.231547016,11.00847468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.98590178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.311973804,NA,NA,NA,NA,NA,NA,14.705971878,15.81077955,NA,NA,NA,NA,NA,NA,NA
"37",2020-05-28,45003,196.483928016,182,3.97648647153867,NA,6.634532304,NA,23.493754688,NA,NA,NA,NA,0.885959136,2.522309792,NA,96.31123246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.389210114,NA,1.131857601,11.30917587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.43238294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.611943628,NA,NA,NA,NA,NA,NA,NA,13.761569483,NA,NA,NA,NA,NA,NA,NA
"38",2020-05-29,45003,208.37885656981,184,4.03153428229723,NA,7.016783044,NA,23.175653899,NA,NA,NA,NA,NA,2.41042081,NA,102.73003569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70212351881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.592936844,NA,1.30860534,12.33160923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.31270502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.148969864,NA,NA,NA,NA,NA,NA,NA,15.64901331,NA,NA,NA,NA,NA,NA,NA
