"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","21019","24001","24021","24043","25019","26099","26115","26147","26163","36019","36029","36033","36063","36089","39009","39013","39043","39081","39087","39095","39111","39123","39167","42003","42051","42055","42059","42125","42129","50011","51043","51059","51069","51107","51840","54003","54011","54017","54019","54027","54031","54033","54035","54037","54039","54045","54049","54051","54061","54075","54077","54079","54081","54083","54099","54101","54107"
"23",2020-05-15,54011,55.832857616,55,3.80332576648644,3.49838405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.59730428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.305489356,NA,NA,NA,NA,NA,NA,4.08104849,NA,NA,33.35063144,NA,NA
"24",2020-05-16,54011,47.978123243,56,3.69634866336587,2.82526937,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.80609385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.996200693,NA,NA,NA,NA,NA,NA,4.02283795,NA,NA,27.32772138,NA,NA
"25",2020-05-17,54011,43.197360747,57,3.58634163938888,2.360509095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85058977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.971805632,NA,NA,NA,NA,NA,NA,3.42756336,NA,NA,26.58689289,NA,NA
"26",2020-05-18,54011,54.835653231,56,3.70911695109173,3.67714296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.69661973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.600621093,0.333863278,NA,NA,NA,NA,NA,3.82963676,NA,NA,32.69776941,NA,NA
"27",2020-05-19,54011,52.826088635,56,3.68213099543313,3.334447404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.30767474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.221828361,NA,NA,NA,NA,NA,NA,4.03467952,NA,NA,30.92745861,NA,NA
"28",2020-05-20,54011,52.77931386,55,3.71316169348255,3.439757628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2260289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.855613452,NA,NA,NA,NA,NA,NA,4.0118778,NA,NA,31.24603608,NA,NA
"29",2020-05-21,54011,55.743366539,55,3.72636190643352,3.70455084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,7.18247842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.075675519,NA,NA,NA,NA,NA,NA,4.3357059,NA,NA,33.44495586,NA,NA
"30",2020-05-22,54011,59.079117464,57,3.81891793870127,3.98535444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.17830636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.819738774,NA,NA,NA,NA,NA,NA,4.92557605,NA,NA,33.17014184,NA,NA
"31",2020-05-23,54011,52.149798897558,57,3.7850677849183,3.496432716,NA,NA,NA,NA,NA,0.033778965558,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,7.2227806,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.696616286,NA,NA,NA,NA,NA,NA,4.64831329,NA,NA,28.05187704,NA,NA
"32",2020-05-24,54011,46.437537912,59,3.66292311673734,2.599601544,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,6.53937116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.509017578,NA,NA,NA,NA,NA,NA,3.81624787,NA,NA,26.97329976,NA,NA
"33",2020-05-25,54011,45.464112468,59,3.6956252455414,2.876381892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6.43359724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650669816,0.23273856,NA,NA,NA,NA,NA,3.95412256,NA,NA,26.3166024,NA,NA
"34",2020-05-26,54011,60.685029834,59,3.82599758380015,3.64189788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.36119508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.528251674,NA,NA,NA,NA,NA,NA,4.49979936,NA,NA,36.65388584,NA,NA
"35",2020-05-27,54011,60.410278882,60,3.82011435657863,3.80571408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19916636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.183449692,0.22776573,NA,NA,NA,NA,NA,4.96505526,NA,NA,35.02912776,NA,NA
"36",2020-05-28,54011,62.85952171,61,3.84072702746042,3.77419356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.57267637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9300156,0.34861008,NA,NA,NA,NA,NA,5.13110045,NA,NA,36.10292565,NA,NA
"37",2020-05-29,54011,64.911000482,61,3.89561800481699,4.17775932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4332843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.424766722,NA,NA,NA,NA,NA,NA,5.6269444,NA,NA,36.24824574,NA,NA
"38",2020-05-30,54011,59.06115971,64,3.81731228169544,3.73660704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9922022,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.06259336,NA,NA,NA,NA,NA,NA,5.83212735,NA,NA,30.43762976,NA,NA
"39",2020-05-31,54011,51.08870830258,66,3.71409750991188,2.905949232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02103027558,NA,7.4151201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.630729967,0.247758768,NA,NA,NA,NA,NA,3.88718396,NA,NA,28.980936,NA,NA
"40",2020-06-01,54011,66.398588928,66,3.81865958991111,3.70568838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.03183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.945622254,0.283294864,NA,NA,NA,NA,NA,5.12119356,NA,NA,39.31095987,NA,NA
"41",2020-06-02,54011,63.913572381,67,3.83681715856919,3.535753337,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,8.8509321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.82649925,0.378048784,NA,NA,NA,NA,NA,5.52856849,NA,NA,36.79377042,NA,NA
"42",2020-06-03,54011,66.769250677,67,3.86355074117526,4.05599994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9046165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.351683207,0.33136965,NA,NA,NA,NA,NA,5.68509792,NA,NA,39.44048346,NA,NA
"43",2020-06-04,54011,67.473017422,69,3.83104597598909,4.309029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.972751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.05351512,0.582352902,NA,NA,NA,NA,NA,5.71462392,NA,NA,38.84074548,NA,NA
